Estacion,Ano,Mes,Dia,Hora,RR
78331,2017,1,31,3,0
78331,2017,1,31,4,0
78331,2017,1,31,5,0
78331,2017,1,31,6,0
78331,2017,1,31,7,0
78331,2017,1,31,8,0
78331,2017,2,1,1,0
78331,2017,2,1,2,0
78331,2017,2,1,3,0
78331,2017,2,1,4,0
78331,2017,2,1,5,0
78331,2017,2,1,6,0
78331,2017,2,1,7,0
78331,2017,2,1,8,0
78331,2017,2,2,1,0
78331,2017,2,2,2,0
78331,2017,2,2,3,0
78331,2017,2,2,4,0
78331,2017,2,2,5,0
78331,2017,2,2,6,0
78331,2017,2,2,7,0
78331,2017,2,2,8,0
78331,2017,2,3,1,0
78331,2017,2,3,2,0
78331,2017,2,3,3,0
78331,2017,2,3,4,0
78331,2017,2,3,5,0
78331,2017,2,3,6,0
78331,2017,2,3,7,0
78331,2017,2,3,8,0
78331,2017,2,4,1,0
78331,2017,2,4,2,0
78331,2017,2,4,3,0
78331,2017,2,4,4,0
78331,2017,2,4,5,0
78331,2017,2,4,6,0
78331,2017,2,4,7,0
78331,2017,2,4,8,0
78331,2017,2,5,1,0
78331,2017,2,5,2,0
78331,2017,2,5,3,0
78331,2017,2,5,4,0
78331,2017,2,5,5,0
78331,2017,2,5,6,0
78331,2017,2,5,7,0
78331,2017,2,5,8,0
78331,2017,2,6,1,0
78331,2017,2,6,2,0
78331,2017,2,6,3,0
78331,2017,2,6,4,0
78331,2017,2,6,5,0
78331,2017,2,6,6,0
78331,2017,2,6,7,0
78331,2017,2,6,8,0
78331,2017,2,7,1,0
78331,2017,2,7,2,0
78331,2017,2,7,3,0
78331,2017,2,7,4,0
78331,2017,2,7,5,0
78331,2017,2,7,6,0
78331,2017,2,7,7,0
78331,2017,2,7,8,0
78331,2017,2,8,1,0
78331,2017,2,8,2,0
78331,2017,2,8,3,0
78331,2017,2,8,4,0
78331,2017,2,8,5,0
78331,2017,2,8,6,0
78331,2017,2,8,7,0
78331,2017,2,8,8,0
78331,2017,2,9,1,0
78331,2017,2,9,2,0
78331,2017,2,9,3,0
78331,2017,2,9,4,0
78331,2017,2,9,5,0
78331,2017,2,9,6,0
78331,2017,2,9,7,0
78331,2017,2,9,8,0
78331,2017,2,10,1,0
78331,2017,2,10,2,0
78331,2017,2,10,3,0
78331,2017,2,10,4,0
78331,2017,2,10,5,0
78331,2017,2,10,6,0
78331,2017,2,10,7,0
78331,2017,2,10,8,0
78331,2017,2,11,1,0
78331,2017,2,11,2,0
78331,2017,2,11,3,0
78331,2017,2,11,4,0
78331,2017,2,11,5,0
78331,2017,2,11,6,0
78331,2017,2,11,7,0
78331,2017,2,11,8,0
78331,2017,2,12,1,0
78331,2017,2,12,2,0
78331,2017,2,12,3,
78331,2017,2,12,4,0
78331,2017,2,12,5,0
78331,2017,2,12,6,0
78331,2017,2,12,7,0
78331,2017,2,12,8,0
78331,2017,2,13,1,0
78331,2017,2,13,2,0
78331,2017,2,13,3,0
78331,2017,2,13,4,0
78331,2017,2,13,5,0
78331,2017,2,13,6,0
78331,2017,2,13,7,0
78331,2017,2,13,8,0
78331,2017,2,14,1,0
78331,2017,2,14,2,0
78331,2017,2,14,3,0
78331,2017,2,14,4,0
78331,2017,2,14,5,0
78331,2017,2,14,6,0
78331,2017,2,14,7,0
78331,2017,2,14,8,0
78331,2017,2,15,1,0
78331,2017,2,15,2,0
78331,2017,2,15,3,0
78331,2017,2,15,4,0
78331,2017,2,15,5,0
78331,2017,2,15,6,0
78331,2017,2,15,7,0
78331,2017,2,15,8,0
78331,2017,2,16,1,0
78331,2017,2,16,2,0
78331,2017,2,16,3,0
78331,2017,2,16,4,0
78331,2017,2,16,5,15.5
78331,2017,2,16,6,0
78331,2017,2,16,7,0
78331,2017,2,16,8,0
78331,2017,2,17,1,0
78331,2017,2,17,2,0
78331,2017,2,17,3,0
78331,2017,2,17,4,0
78331,2017,2,17,5,0
78331,2017,2,17,6,0
78331,2017,2,17,7,0
78331,2017,2,17,8,0
78331,2017,2,18,1,0
78331,2017,2,18,2,0
78331,2017,2,18,3,0
78331,2017,2,18,4,0
78331,2017,2,18,5,0
78331,2017,2,18,6,0
78331,2017,2,18,7,0
78331,2017,2,18,8,0
78331,2017,2,19,1,0
78331,2017,2,19,2,0
78331,2017,2,19,3,0
78331,2017,2,19,4,0
78331,2017,2,19,5,0
78331,2017,2,19,6,0
78331,2017,2,19,7,0
78331,2017,2,19,8,0
78331,2017,2,20,1,0
78331,2017,2,20,2,0
78331,2017,2,20,3,0
78331,2017,2,20,4,0
78331,2017,2,20,5,0
78331,2017,2,20,6,0
78331,2017,2,20,7,0
78331,2017,2,20,8,0
78331,2017,2,21,1,0
78331,2017,2,21,2,0
78331,2017,2,21,3,0
78331,2017,2,21,4,0
78331,2017,2,21,5,0
78331,2017,2,21,6,0
78331,2017,2,21,7,0
78331,2017,2,21,8,0
78331,2017,2,22,1,0
78331,2017,2,22,2,0
78331,2017,2,22,3,0
78331,2017,2,22,4,0.5
78331,2017,2,22,5,12.3
78331,2017,2,22,6,0.5
78331,2017,2,22,7,0
78331,2017,2,22,8,0
78331,2017,2,23,1,0
78331,2017,2,23,2,0
78331,2017,2,23,3,0
78331,2017,2,23,4,0
78331,2017,2,23,5,0
78331,2017,2,23,6,0
78331,2017,2,23,7,0
78331,2017,2,23,8,0
78331,2017,2,24,1,0
78331,2017,2,24,2,0
78331,2017,2,24,3,0
78331,2017,2,24,4,0
78331,2017,2,24,5,0
78331,2017,2,24,6,0
78331,2017,2,24,7,0
78331,2017,2,24,8,0
78331,2017,2,25,1,0
78331,2017,2,25,2,0
78331,2017,2,25,3,0
78331,2017,2,25,4,0
78331,2017,2,25,5,0
78331,2017,2,25,6,0
78331,2017,2,25,7,0
78331,2017,2,25,8,0
78331,2017,2,26,1,0
78331,2017,2,26,2,0
78331,2017,2,26,3,0
78331,2017,2,26,4,0
78331,2017,2,26,5,0
78331,2017,2,26,6,0
78331,2017,2,26,7,0
78331,2017,2,26,8,0
78331,2017,2,27,1,0
78331,2017,2,27,2,0
78331,2017,2,27,3,0
78331,2017,2,27,4,0
78331,2017,2,27,5,0
78331,2017,2,27,6,0
78331,2017,2,27,7,0.1
78331,2017,2,27,8,2
78331,2017,2,28,1,0.9
78331,2017,2,28,2,0
78331,2017,2,28,3,0
78331,2017,2,28,4,0
78331,2017,2,28,5,0
78331,2017,2,28,6,0
78331,2017,2,28,7,0
78331,2017,2,28,8,0
78331,2017,3,1,1,0
78331,2017,3,1,2,0
78331,2017,3,1,3,0
78331,2017,3,1,4,0
78331,2017,3,1,5,0
78331,2017,3,1,6,0
78331,2017,3,1,7,0
78331,2017,3,1,8,0
78331,2017,3,2,1,0
78331,2017,3,2,2,0
78331,2017,3,2,3,0
78331,2017,3,2,4,0
78331,2017,3,2,5,0
78331,2017,3,2,6,0
78331,2017,3,2,7,0
78331,2017,3,2,8,0
78331,2017,3,3,1,0
78331,2017,3,3,2,0
78331,2017,3,3,3,0
78331,2017,3,3,4,0
78331,2017,3,3,5,0
78331,2017,3,3,6,0
78331,2017,3,3,7,0
78331,2017,3,3,8,0
78331,2017,3,4,1,0
78331,2017,3,4,2,0
78331,2017,3,4,3,0
78331,2017,3,4,4,0
78331,2017,3,4,5,0
78331,2017,3,4,6,0
78331,2017,3,4,7,0
78331,2017,3,4,8,0
78331,2017,3,5,1,0
78331,2017,3,5,2,0
78331,2017,3,5,3,0
78331,2017,3,5,4,0
78331,2017,3,5,5,0
78331,2017,3,5,6,0
78331,2017,3,5,7,0
78331,2017,3,5,8,0
78331,2017,3,6,1,0
78331,2017,3,6,2,0
78331,2017,3,6,3,0
78331,2017,3,6,4,0
78331,2017,3,6,5,0
78331,2017,3,6,6,0
78331,2017,3,6,7,0
78331,2017,3,6,8,0
78331,2017,3,7,1,0
78331,2017,3,7,2,0
78331,2017,3,7,3,0
78331,2017,3,7,4,0
78331,2017,3,7,5,0
78331,2017,3,7,6,0
78331,2017,3,7,7,0
78331,2017,3,7,8,0
78331,2017,3,8,1,0
78331,2017,3,8,2,0
78331,2017,3,8,3,0
78331,2017,3,8,4,0
78331,2017,3,8,5,0
78331,2017,3,8,6,0
78331,2017,3,8,7,0
78331,2017,3,8,8,0
78331,2017,3,9,1,0
78331,2017,3,9,2,0
78331,2017,3,9,3,0
78331,2017,3,9,4,0
78331,2017,3,9,5,0
78331,2017,3,9,6,0
78331,2017,3,9,7,0
78331,2017,3,9,8,0
78331,2017,3,10,1,0
78331,2017,3,10,2,0
78331,2017,3,10,3,0
78331,2017,3,10,4,0
78331,2017,3,10,5,0
78331,2017,3,10,6,0
78331,2017,3,10,7,0
78331,2017,3,10,8,0
78331,2017,3,11,1,0
78331,2017,3,11,2,0
78331,2017,3,11,3,0
78331,2017,3,11,4,0
78331,2017,3,11,5,0
78331,2017,3,11,6,0
78331,2017,3,11,7,0
78331,2017,3,11,8,0
78331,2017,3,12,1,0
78331,2017,3,12,2,0
78331,2017,3,12,3,0
78331,2017,3,12,4,0
78331,2017,3,12,5,0
78331,2017,3,12,6,0
78331,2017,3,12,7,9.8
78331,2017,3,12,8,9.4
78331,2017,3,13,1,0
78331,2017,3,13,2,0
78331,2017,3,13,3,0
78331,2017,3,13,4,0
78331,2017,3,13,5,0
78331,2017,3,13,6,0
78331,2017,3,13,7,0
78331,2017,3,13,8,0
78331,2017,3,14,1,0
78331,2017,3,14,2,0
78331,2017,3,14,3,0
78331,2017,3,14,4,0
78331,2017,3,14,5,0
78331,2017,3,14,6,1
78331,2017,3,14,7,0
78331,2017,3,14,8,0
78331,2017,3,15,1,0
78331,2017,3,15,2,0
78331,2017,3,15,3,0
78331,2017,3,15,4,0
78331,2017,3,15,5,0
78331,2017,3,15,6,0
78331,2017,3,15,7,0
78331,2017,3,15,8,0
78331,2017,3,16,1,0
78331,2017,3,16,2,0
78331,2017,3,16,3,0
78331,2017,3,16,4,0
78331,2017,3,16,5,0
78331,2017,3,16,6,0
78331,2017,3,16,7,0
78331,2017,3,16,8,0
78331,2017,3,17,1,0
78331,2017,3,17,2,0
78331,2017,3,17,3,0
78331,2017,3,17,4,0
78331,2017,3,17,5,0
78331,2017,3,17,6,0
78331,2017,3,17,7,0
78331,2017,3,17,8,0
78331,2017,3,18,1,0
78331,2017,3,18,2,0
78331,2017,3,18,3,0
78331,2017,3,18,4,0
78331,2017,3,18,5,0
78331,2017,3,18,6,0
78331,2017,3,18,7,0
78331,2017,3,18,8,0
78331,2017,3,19,1,0
78331,2017,3,19,2,0
78331,2017,3,19,3,0
78331,2017,3,19,4,0
78331,2017,3,19,5,0
78331,2017,3,19,6,0
78331,2017,3,19,7,0
78331,2017,3,19,8,0
78331,2017,3,20,1,0
78331,2017,3,20,2,0
78331,2017,3,20,3,0
78331,2017,3,20,4,0
78331,2017,3,20,5,0
78331,2017,3,20,6,0
78331,2017,3,20,7,0
78331,2017,3,20,8,0
78331,2017,3,21,1,0
78331,2017,3,21,2,0
78331,2017,3,21,3,0
78331,2017,3,21,4,0
78331,2017,3,21,5,0
78331,2017,3,21,6,0
78331,2017,3,21,7,0
78331,2017,3,21,8,0
78331,2017,3,22,1,0
78331,2017,3,22,2,0
78331,2017,3,22,3,0
78331,2017,3,22,4,0
78331,2017,3,22,5,0
78331,2017,3,22,6,0
78331,2017,3,22,7,0
78331,2017,3,22,8,0
78331,2017,3,23,1,0
78331,2017,3,23,2,0
78331,2017,3,23,3,0
78331,2017,3,23,4,0
78331,2017,3,23,5,0
78331,2017,3,23,6,0
78331,2017,3,23,7,0
78331,2017,3,23,8,0
78331,2017,3,24,1,0
78331,2017,3,24,2,0
78331,2017,3,24,3,0
78331,2017,3,24,4,0
78331,2017,3,24,5,0
78331,2017,3,24,6,0
78331,2017,3,24,7,0
78331,2017,3,24,8,0
78331,2017,3,25,1,0
78331,2017,3,25,2,0
78331,2017,3,25,3,0
78331,2017,3,25,4,0
78331,2017,3,25,5,0
78331,2017,3,25,6,0
78331,2017,3,25,7,0
78331,2017,3,25,8,0
78331,2017,3,26,1,0
78331,2017,3,26,2,0
78331,2017,3,26,3,0
78331,2017,3,26,4,0
78331,2017,3,26,5,0
78331,2017,3,26,6,0
78331,2017,3,26,7,0
78331,2017,3,26,8,0
78331,2017,3,27,1,0
78331,2017,3,27,2,0
78331,2017,3,27,3,0
78331,2017,3,27,4,0
78331,2017,3,27,5,0
78331,2017,3,27,6,0
78331,2017,3,27,7,0
78331,2017,3,27,8,0
78331,2017,3,28,1,0
78331,2017,3,28,2,0
78331,2017,3,28,3,0
78331,2017,3,28,4,0
78331,2017,3,28,5,0
78331,2017,3,28,6,0
78331,2017,3,28,7,0
78331,2017,3,28,8,0
78331,2017,3,29,1,0
78331,2017,3,29,2,0
78331,2017,3,29,3,0
78331,2017,3,29,4,0
78331,2017,3,29,5,0
78331,2017,3,29,6,0
78331,2017,3,29,7,0
78331,2017,3,29,8,0
78331,2017,3,30,1,0
78331,2017,3,30,2,0
78331,2017,3,30,3,0
78331,2017,3,30,4,0
78331,2017,3,30,5,0
78331,2017,3,30,6,0
78331,2017,3,30,7,0
78331,2017,3,30,8,0
78331,2017,3,31,1,0
78331,2017,3,31,2,0
78331,2017,3,31,3,0
78331,2017,3,31,4,0
78331,2017,3,31,5,
78331,2017,3,31,6,0
78331,2017,3,31,7,0
78331,2017,3,31,8,0
78331,2017,4,1,1,0
78331,2017,4,1,2,0
78331,2017,4,1,3,0
78331,2017,4,1,4,0
78331,2017,4,1,5,0
78331,2017,4,1,6,0
78331,2017,4,1,7,0
78331,2017,4,1,8,0
78331,2017,4,2,1,0
78331,2017,4,2,2,0
78331,2017,4,2,3,0
78331,2017,4,2,4,0
78331,2017,4,2,5,0
78331,2017,4,2,6,0
78331,2017,4,2,7,0
78331,2017,4,2,8,0
78331,2017,4,3,1,0
78331,2017,4,3,2,0
78331,2017,4,3,3,0
78331,2017,4,3,4,0
78331,2017,4,3,5,0
78331,2017,4,3,6,0
78331,2017,4,3,7,0
78331,2017,4,3,8,0
78331,2017,4,4,1,0
78331,2017,4,4,2,0
78331,2017,4,4,3,0
78331,2017,4,4,4,0
78331,2017,4,4,5,0
78331,2017,4,4,6,0
78331,2017,4,4,7,0
78331,2017,4,4,8,0
78331,2017,4,5,1,0
78331,2017,4,5,2,0
78331,2017,4,5,3,0
78331,2017,4,5,4,0
78331,2017,4,5,5,0
78331,2017,4,5,6,0
78331,2017,4,5,7,0
78331,2017,4,5,8,0
78331,2017,4,6,1,0
78331,2017,4,6,2,0
78331,2017,4,6,3,0
78331,2017,4,6,4,0
78331,2017,4,6,5,0
78331,2017,4,6,6,0
78331,2017,4,6,7,0
78331,2017,4,6,8,0
78331,2017,4,7,1,0
78331,2017,4,7,2,0
78331,2017,4,7,3,0
78331,2017,4,7,4,0
78331,2017,4,7,5,0
78331,2017,4,7,6,0
78331,2017,4,7,7,0
78331,2017,4,7,8,0
78331,2017,4,8,1,0
78331,2017,4,8,2,0
78331,2017,4,8,3,0
78331,2017,4,8,4,0
78331,2017,4,8,5,0
78331,2017,4,8,6,0
78331,2017,4,8,7,0
78331,2017,4,8,8,0
78331,2017,4,9,1,0
78331,2017,4,9,2,0
78331,2017,4,9,3,0
78331,2017,4,9,4,0
78331,2017,4,9,5,0
78331,2017,4,9,6,0
78331,2017,4,9,7,0
78331,2017,4,9,8,0
78331,2017,4,10,1,0
78331,2017,4,10,2,0
78331,2017,4,10,3,0
78331,2017,4,10,4,0
78331,2017,4,10,5,0
78331,2017,4,10,6,0
78331,2017,4,10,7,0
78331,2017,4,10,8,0
78331,2017,4,11,1,0
78331,2017,4,11,2,0
78331,2017,4,11,3,0
78331,2017,4,11,4,0
78331,2017,4,11,5,0
78331,2017,4,11,6,0
78331,2017,4,11,7,0
78331,2017,4,11,8,0
78331,2017,4,12,1,0
78331,2017,4,12,2,0
78331,2017,4,12,3,0
78331,2017,4,12,4,0
78331,2017,4,12,5,0
78331,2017,4,12,6,0
78331,2017,4,12,7,0
78331,2017,4,12,8,0
78331,2017,4,13,1,0
78331,2017,4,13,2,0
78331,2017,4,13,3,0
78331,2017,4,13,4,0
78331,2017,4,13,5,0
78331,2017,4,13,6,0
78331,2017,4,13,7,0
78331,2017,4,13,8,0
78331,2017,4,14,1,0
78331,2017,4,14,2,0
78331,2017,4,14,3,0
78331,2017,4,14,4,0
78331,2017,4,14,5,0
78331,2017,4,14,6,0
78331,2017,4,14,7,0
78331,2017,4,14,8,0
78331,2017,4,15,1,0
78331,2017,4,15,2,0
78331,2017,4,15,3,0
78331,2017,4,15,4,0
78331,2017,4,15,5,0
78331,2017,4,15,6,0
78331,2017,4,15,7,0
78331,2017,4,15,8,0
78331,2017,4,16,1,0
78331,2017,4,16,2,0
78331,2017,4,16,3,0
78331,2017,4,16,4,0
78331,2017,4,16,5,0
78331,2017,4,16,6,0
78331,2017,4,16,7,0
78331,2017,4,16,8,0
78331,2017,4,17,1,0
78331,2017,4,17,2,0
78331,2017,4,17,3,0
78331,2017,4,17,4,0
78331,2017,4,17,5,0
78331,2017,4,17,6,0
78331,2017,4,17,7,6.1
78331,2017,4,17,8,0
78331,2017,4,18,1,0
78331,2017,4,18,2,0
78331,2017,4,18,3,0
78331,2017,4,18,4,0
78331,2017,4,18,5,0
78331,2017,4,18,6,0
78331,2017,4,18,7,5.8
78331,2017,4,18,8,0
78331,2017,4,19,1,0
78331,2017,4,19,2,0
78331,2017,4,19,3,0
78331,2017,4,19,4,0
78331,2017,4,19,5,0
78331,2017,4,19,6,0
78331,2017,4,19,7,0
78331,2017,4,19,8,0
78331,2017,4,20,1,0
78331,2017,4,20,2,0
78331,2017,4,20,3,0
78331,2017,4,20,4,0
78331,2017,4,20,5,0
78331,2017,4,20,6,3.5
78331,2017,4,20,7,0
78331,2017,4,20,8,0
78331,2017,4,21,1,0
78331,2017,4,21,2,0
78331,2017,4,21,3,1.5
78331,2017,4,21,4,1
78331,2017,4,21,5,0
78331,2017,4,21,6,0
78331,2017,4,21,7,0
78331,2017,4,21,8,0
78331,2017,4,22,1,0
78331,2017,4,22,2,0
78331,2017,4,22,3,0
78331,2017,4,22,4,0
78331,2017,4,22,5,0
78331,2017,4,22,6,0
78331,2017,4,22,7,0
78331,2017,4,22,8,0.1
78331,2017,4,23,1,3.8
78331,2017,4,23,2,0
78331,2017,4,23,3,0
78331,2017,4,23,4,0
78331,2017,4,23,5,0
78331,2017,4,23,6,0
78331,2017,4,23,7,5.6
78331,2017,4,23,8,0
78331,2017,4,24,1,0
78331,2017,4,24,2,0
78331,2017,4,24,3,0
78331,2017,4,24,4,0
78331,2017,4,24,5,0
78331,2017,4,24,6,0
78331,2017,4,24,7,0
78331,2017,4,24,8,0
78331,2017,4,25,1,0
78331,2017,4,25,2,0
78331,2017,4,25,3,0
78331,2017,4,25,4,0
78331,2017,4,25,5,0
78331,2017,4,25,6,0
78331,2017,4,25,7,0
78331,2017,4,25,8,0
78331,2017,4,26,1,0
78331,2017,4,26,2,0
78331,2017,4,26,3,0
78331,2017,4,26,4,0
78331,2017,4,26,5,0
78331,2017,4,26,6,0
78331,2017,4,26,7,0
78331,2017,4,26,8,0
78331,2017,4,27,1,0
78331,2017,4,27,2,0
78331,2017,4,27,3,0
78331,2017,4,27,4,0
78331,2017,4,27,5,0
78331,2017,4,27,6,0
78331,2017,4,27,7,2.8
78331,2017,4,27,8,0
78331,2017,4,28,1,0
78331,2017,4,28,2,0
78331,2017,4,28,3,0
78331,2017,4,28,4,0
78331,2017,4,28,5,0
78331,2017,4,28,6,42
78331,2017,4,28,7,2.5
78331,2017,4,28,8,0
78331,2017,4,29,1,0
78331,2017,4,29,2,0
78331,2017,4,29,3,0
78331,2017,4,29,4,0
78331,2017,4,29,5,0
78331,2017,4,29,6,0
78331,2017,4,29,7,2.6
78331,2017,4,29,8,0
78331,2017,4,30,1,0
78331,2017,4,30,2,0
78331,2017,4,30,3,0
78331,2017,4,30,4,0
78331,2017,4,30,5,0
78331,2017,4,30,6,0
78331,2017,4,30,7,10.2
78331,2017,4,30,8,0
78331,2017,5,1,1,0
78331,2017,5,1,2,0
78331,2017,5,1,3,0
78331,2017,5,1,4,0
78331,2017,5,1,5,0
78331,2017,5,1,6,0
78331,2017,5,1,7,6.3
78331,2017,5,1,8,2.7
78331,2017,5,2,1,0
78331,2017,5,2,2,0
78331,2017,5,2,3,0
78331,2017,5,2,4,0
78331,2017,5,2,5,0
78331,2017,5,2,6,0
78331,2017,5,2,7,1.3
78331,2017,5,2,8,0
78331,2017,5,3,1,0
78331,2017,5,3,2,0
78331,2017,5,3,3,0
78331,2017,5,3,4,0
78331,2017,5,3,5,0
78331,2017,5,3,6,0
78331,2017,5,3,7,0
78331,2017,5,3,8,0
78331,2017,5,4,1,0
78331,2017,5,4,2,0
78331,2017,5,4,3,0
78331,2017,5,4,4,0
78331,2017,5,4,5,0
78331,2017,5,4,6,0
78331,2017,5,4,7,0
78331,2017,5,4,8,0
78331,2017,5,5,1,0
78331,2017,5,5,2,0
78331,2017,5,5,3,0
78331,2017,5,5,4,0
78331,2017,5,5,5,0
78331,2017,5,5,6,0.9
78331,2017,5,5,7,1.9
78331,2017,5,5,8,0
78331,2017,5,6,1,0
78331,2017,5,6,2,0
78331,2017,5,6,3,0
78331,2017,5,6,4,0
78331,2017,5,6,5,0
78331,2017,5,6,6,0
78331,2017,5,6,7,0
78331,2017,5,6,8,0
78331,2017,5,7,1,0
78331,2017,5,7,2,0
78331,2017,5,7,3,0
78331,2017,5,7,4,0
78331,2017,5,7,5,0
78331,2017,5,7,6,0
78331,2017,5,7,7,0
78331,2017,5,7,8,0
78331,2017,5,8,1,0
78331,2017,5,8,2,0
78331,2017,5,8,3,0
78331,2017,5,8,4,0
78331,2017,5,8,5,0
78331,2017,5,8,6,0
78331,2017,5,8,7,0
78331,2017,5,8,8,0
78331,2017,5,9,1,0
78331,2017,5,9,2,0
78331,2017,5,9,3,0
78331,2017,5,9,4,0
78331,2017,5,9,5,0
78331,2017,5,9,6,0
78331,2017,5,9,7,0
78331,2017,5,9,8,0
78331,2017,5,10,1,0
78331,2017,5,10,2,0
78331,2017,5,10,3,0
78331,2017,5,10,4,0
78331,2017,5,10,5,0
78331,2017,5,10,6,0
78331,2017,5,10,7,0
78331,2017,5,10,8,0
78331,2017,5,11,1,0
78331,2017,5,11,2,0
78331,2017,5,11,3,0
78331,2017,5,11,4,0
78331,2017,5,11,5,0
78331,2017,5,11,6,0
78331,2017,5,11,7,0
78331,2017,5,11,8,0
78331,2017,5,12,1,0
78331,2017,5,12,2,0
78331,2017,5,12,3,0
78331,2017,5,12,4,0
78331,2017,5,12,5,0
78331,2017,5,12,6,0
78331,2017,5,12,7,0
78331,2017,5,12,8,0
78331,2017,5,13,1,0
78331,2017,5,13,2,0
78331,2017,5,13,3,0
78331,2017,5,13,4,0
78331,2017,5,13,5,0
78331,2017,5,13,6,0
78331,2017,5,13,7,0
78331,2017,5,13,8,0
78331,2017,5,14,1,0
78331,2017,5,14,2,2.1
78331,2017,5,14,3,0
78331,2017,5,14,4,0
78331,2017,5,14,5,0
78331,2017,5,14,6,0
78331,2017,5,14,7,0
78331,2017,5,14,8,0
78331,2017,5,15,1,0
78331,2017,5,15,2,0
78331,2017,5,15,3,0
78331,2017,5,15,4,0
78331,2017,5,15,5,0
78331,2017,5,15,6,0
78331,2017,5,15,7,7.2
78331,2017,5,15,8,0
78331,2017,5,16,1,0
78331,2017,5,16,2,0
78331,2017,5,16,3,0
78331,2017,5,16,4,0
78331,2017,5,16,5,0
78331,2017,5,16,6,0
78331,2017,5,16,7,5.2
78331,2017,5,16,8,0.1
78331,2017,5,17,1,0
78331,2017,5,17,2,0
78331,2017,5,17,3,0
78331,2017,5,17,4,0
78331,2017,5,17,5,0
78331,2017,5,17,6,0
78331,2017,5,17,7,0
78331,2017,5,17,8,0
78331,2017,5,18,1,0
78331,2017,5,18,2,0
78331,2017,5,18,3,0
78331,2017,5,18,4,0
78331,2017,5,18,5,0
78331,2017,5,18,6,0
78331,2017,5,18,7,10.7
78331,2017,5,18,8,0
78331,2017,5,19,1,0
78331,2017,5,19,2,0
78331,2017,5,19,3,0
78331,2017,5,19,4,0.2
78331,2017,5,19,5,0.5
78331,2017,5,19,6,0
78331,2017,5,19,7,2.8
78331,2017,5,19,8,2.7
78331,2017,5,20,1,0
78331,2017,5,20,2,0
78331,2017,5,20,3,0
78331,2017,5,20,4,0
78331,2017,5,20,5,0
78331,2017,5,20,6,0
78331,2017,5,20,7,0
78331,2017,5,20,8,0
78331,2017,5,21,1,0
78331,2017,5,21,2,0
78331,2017,5,21,3,0
78331,2017,5,21,4,0
78331,2017,5,21,5,0
78331,2017,5,21,6,0
78331,2017,5,21,7,0
78331,2017,5,21,8,0
78331,2017,5,22,1,0
78331,2017,5,22,2,0
78331,2017,5,22,3,0
78331,2017,5,22,4,0
78331,2017,5,22,5,0
78331,2017,5,22,6,0
78331,2017,5,22,7,0
78331,2017,5,22,8,0
78331,2017,5,23,1,0
78331,2017,5,23,2,0
78331,2017,5,23,3,0
78331,2017,5,23,4,0
78331,2017,5,23,5,0
78331,2017,5,23,6,0
78331,2017,5,23,7,0
78331,2017,5,23,8,0
78331,2017,5,24,1,0
78331,2017,5,24,2,0
78331,2017,5,24,3,0
78331,2017,5,24,4,0
78331,2017,5,24,5,0
78331,2017,5,24,6,0
78331,2017,5,24,7,0
78331,2017,5,24,8,0
78331,2017,5,25,1,0
78331,2017,5,25,2,0
78331,2017,5,25,3,0
78331,2017,5,25,4,0
78331,2017,5,25,5,0
78331,2017,5,25,6,0
78331,2017,5,25,7,0
78331,2017,5,25,8,0
78331,2017,5,26,1,0
78331,2017,5,26,2,0
78331,2017,5,26,3,0
78331,2017,5,26,4,0
78331,2017,5,26,5,0
78331,2017,5,26,6,0
78331,2017,5,26,7,0
78331,2017,5,26,8,0
78331,2017,5,27,1,
78331,2017,5,27,2,0
78331,2017,5,27,3,0
78331,2017,5,27,4,0
78331,2017,5,27,5,0
78331,2017,5,27,6,1.2
78331,2017,5,27,7,6.4
78331,2017,5,27,8,0
78331,2017,5,28,1,0
78331,2017,5,28,2,0
78331,2017,5,28,3,0
78331,2017,5,28,4,0
78331,2017,5,28,5,0
78331,2017,5,28,6,0
78331,2017,5,28,7,0.2
78331,2017,5,28,8,0
78331,2017,5,29,1,0
78331,2017,5,29,2,0
78331,2017,5,29,3,0
78331,2017,5,29,4,0
78331,2017,5,29,5,0
78331,2017,5,29,6,0
78331,2017,5,29,7,0
78331,2017,5,29,8,0
78331,2017,5,30,1,0
78331,2017,5,30,2,0
78331,2017,5,30,3,0
78331,2017,5,30,4,0
78331,2017,5,30,5,0
78331,2017,5,30,6,0
78331,2017,5,30,7,17.8
78331,2017,5,30,8,0
78331,2017,5,31,1,0
78331,2017,5,31,2,0
78331,2017,5,31,3,0
78331,2017,5,31,4,0
78331,2017,5,31,5,0
78331,2017,5,31,6,0
78331,2017,5,31,7,3.6
78331,2017,5,31,8,0.5
78331,2017,6,1,1,0
78331,2017,6,1,2,0
78331,2017,6,1,3,0
78331,2017,6,1,4,0
78331,2017,6,1,5,0
78331,2017,6,1,6,0.2
78331,2017,6,1,7,0
78331,2017,6,1,8,0
78331,2017,6,2,1,0
78331,2017,6,2,2,0
78331,2017,6,2,3,0
78331,2017,6,2,4,0
78331,2017,6,2,5,0
78331,2017,6,2,6,0
78331,2017,6,2,7,0
78331,2017,6,2,8,0
78331,2017,6,3,1,0
78331,2017,6,3,2,0
78331,2017,6,3,3,0
78331,2017,6,3,4,0
78331,2017,6,3,5,0
78331,2017,6,3,6,0
78331,2017,6,3,7,0
78331,2017,6,3,8,0
78331,2017,6,4,1,0
78331,2017,6,4,2,0
